hour_idx,day_idx,loc_idx,node_idx,utilization_rate
15,25,33,35,1.0
16,25,33,35,1.0
17,25,33,35,0.0
18,25,33,35,0.0
19,25,33,35,0.0
20,25,33,35,0.0
21,25,33,35,0.0
22,25,33,35,0.0
23,25,33,35,0.0
0,26,33,35,0.0
1,26,33,35,0.0
2,26,33,35,0.0
3,26,33,35,0.0
4,26,33,35,0.0
5,26,33,35,0.0
6,26,33,35,0.0
7,26,33,35,0.0
8,26,33,35,0.0
9,26,33,35,0.0
10,26,33,35,1.0
11,26,33,35,1.0
12,26,33,35,1.0
13,26,33,35,1.0
14,26,33,35,1.0
15,26,33,35,1.0
16,26,33,35,1.0
17,26,33,35,1.0
18,26,33,35,1.0
19,26,33,35,0.0
20,26,33,35,0.0
21,26,33,35,0.0
22,26,33,35,0.0
23,26,33,35,0.0
0,27,33,35,0.0
1,27,33,35,0.0
2,27,33,35,0.0
3,27,33,35,0.0
4,27,33,35,0.0
5,27,33,35,0.0
6,27,33,35,0.0
7,27,33,35,0.0
8,27,33,35,0.0
9,27,33,35,0.0
10,27,33,35,1.0
11,27,33,35,1.0
12,27,33,35,1.0
13,27,33,35,1.0
14,27,33,35,1.0
15,27,33,35,1.0
16,27,33,35,1.0
17,27,33,35,1.0
18,27,33,35,0.0
19,27,33,35,0.0
20,27,33,35,0.0
21,27,33,35,0.0
22,27,33,35,0.0
23,27,33,35,0.0
0,28,33,35,0.0
1,28,33,35,0.0
2,28,33,35,0.0
3,28,33,35,0.0
4,28,33,35,0.0
5,28,33,35,0.0
6,28,33,35,0.0
7,28,33,35,0.0
8,28,33,35,0.0
9,28,33,35,0.0
10,28,33,35,1.0
11,28,33,35,1.0
12,28,33,35,1.0
13,28,33,35,1.0
14,28,33,35,1.0
15,28,33,35,1.0
16,28,33,35,1.0
17,28,33,35,1.0
18,28,33,35,0.0
19,28,33,35,0.0
20,28,33,35,1.0
21,28,33,35,1.0
